coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Boba Network,BOBA,1.28,0.005,0.058,0.162,7605916,204133364,2022-03-17
Stacks,STX,1.26,0.004,0.001,0.119,24411447,1327159918,2022-03-17
Swarm,BZZ,1.26,0.002,0.052,-0.014,1150674,81979222,2022-03-17
LooksRare,LOOKS,1.25,0.018,-0.028,0.099,52982527,306746978,2022-03-17
Fantom,FTM,1.22,-0.003,0.001,-0.107,662240690,3103751456,2022-03-17
MMFinance,MMF,1.2,-0.002,0.091,0.381,46298812,165134827,2022-03-17
Tomb,TOMB,1.19,-0.004,0.015,-0.101,10836099,305642692,2022-03-17
TomoChain,TOMO,1.19,0.007,0.015,-0.028,2030435,104551092,2022-03-17
Ultra,UOS,1.17,0.005,0.024,-0.038,4195149,317369548,2022-03-17
Creditcoin,CTC,1.17,-0.001,0.032,0.02,3120629,242723178,2022-03-17
Wilder World,WILD,1.17,-0.012,0.004,-0.178,4126450,97738316,2022-03-17
CertiK,CTK,1.17,-0.002,-0.003,-0.009,4539353,82895723,2022-03-17
BitDAO,BIT,1.14,0.003,0.012,0.001,42339293,1011521016,2022-03-17
Akash Network,AKT,1.14,0.013,0.039,0.005,1488453,150977820,2022-03-17
TitanSwap,TITAN,1.12,-0.018,-0.008,-0.038,24457.53,111774842,2022-03-17
Euro Tether,EURT,1.11,0,0.006,0.003,14717552,228389194,2022-03-17
STASIS EURO,EURS,1.11,-0.001,0.005,0.001,5583658,137830475,2022-03-17
agEUR,AGEUR,1.11,0.003,0.011,0.005,2130541,115865259,2022-03-17
Adventure Gold,AGLD,1.11,-0.011,0.009,0.089,56512453,85908280,2022-03-17
Klaytn,KLAY,1.1,0.004,-0.002,-0.032,40036524,3037372912,2022-03-17
Iron Bank EURO,IBEUR,1.1,0,0.016,0.005,57945.42,132176489,2022-03-17
Acala,ACA,1.08,0.002,-0.014,-0.054,8839438,137419617,2022-03-17
Phantasma,SOUL,1.07,0.005,-0.009,-0.105,2935493,111502505,2022-03-17
Ampleforth,AMPL,1.07,0,-0.049,0.104,1359111,88008725,2022-03-17
Storj,STORJ,1.06,0.003,0.028,0.076,22799371,153045067,2022-03-17
